n_cities,coord_variance,dist_mean,dist_std,dist_cv,density_proxy,nn_ratio,dist_skewness,max_min_ratio,label,winner,prolog_cost,prolog_time,aco_cost,aco_time,ga_cost,ga_time,prolog_score,aco_score,ga_score,decision_tier,sample_idx,region,spread_km,is_clustered,is_high_scatter
20.0,1.2496384401398244,123.36653157894736,88.09892434331421,0.7141233786485767,0.10490953506086353,0.15351084088702552,0.38238073463420647,78.66154261057174,1,ACO,-1.0,-1.0,824.5389999999999,0.35320220002904534,798.271,1.4457850998733193,-1.0,0.1717438239976764,0.11107307185304591,speed_quality_balance,0,Middle East,276.29186500675337,1,0
10.0,0.7025656388262111,100.19913333333334,54.593497425812735,0.5448499962988309,0.06358309943763518,0.28622203651794725,-0.5392738195394777,22.028080607862574,0,Prolog,525.858,0.37329789996147156,562.786,0.15823629987426102,525.858,0.8538738000206649,1.0,0.0,0.0328,prolog_decisive,1,Europe,279.34607994764644,1,0
7.0,23.413395388796502,625.6320952380952,300.300846276483,0.47999590903692096,0.009091838814246344,0.4309479312122734,0.25672475057348565,8.664092333388055,0,Prolog,2792.4490000000005,0.15729840006679296,3048.664,0.21695600007660687,2792.449,0.7800995998550206,1.0,0.0,0.042,prolog_decisive,2,East Asia,575.1702270522533,0,1
9.0,26.813354507282256,715.4200555555556,312.5657028769173,0.43689815577534535,0.008192835066333002,0.42085391791194,0.1366901103910628,7.2946906312485345,0,Prolog,3688.1259999999997,0.21935530006885529,4173.311,0.2335179999936372,3688.1259999999997,0.7580652998294681,1.0,0.0,0.05815,prolog_decisive,3,North America,642.4006823247013,0,0
15.0,16.875534981963753,602.6169047619047,261.7491030450461,0.4343540663673612,0.014314429885496853,0.2987268781279744,0.3382459031491329,15.162447597549178,2,Genetic,3919.0469999999996,13.034725200152025,5729.527999999999,0.1591554000042379,3960.442,1.3391803000122309,-1.0,0.187267567999661,0.356754268085724,speed_quality_balance,4,South America,548.7815705660075,0,0
18.0,0.3276351041977916,74.46244444444444,43.34404019972237,0.5820926310317526,0.15284413339163874,0.14520220484002375,-0.06238821616918023,43.40724762726488,1,ACO,-1.0,-1.0,466.6409999999999,0.2535033000167459,467.845,0.7810506001114845,-1.0,0.18177853752480702,0.13784358709527902,speed_quality_balance,5,Australia,188.83470606348519,1,0
8.0,0.7858522067319824,129.24617857142857,68.99781363878422,0.5338479976849159,0.0387905134633134,0.34090853197372784,-0.012584532067873464,15.93167864141084,0,Prolog,641.8929999999999,0.5661812999751419,713.0449999999998,0.03638530010357499,641.8929999999999,0.5102345000486821,1.0,0.0,0.0499,prolog_decisive,6,Africa,392.0099715605439,1,0
11.0,54.248252734204826,1080.9046545454546,505.97984341485085,0.4681077477898613,0.007220349648232735,0.2365330145341555,-0.022187308471711027,11.628928301551317,0,Prolog,5329.157999999999,0.20073889987543225,6253.945,0.06377559993416071,5345.124,0.4749799999408424,1.0,0.0,0.07265,prolog_decisive,7,South Asia,1017.4622812014253,0,1
6.0,5.52742897178367,352.6524,122.45067161530802,0.34722767125732884,0.013543169187088406,0.551146114417483,0.316501604264626,3.2757452383237995,0,Prolog,1458.3449999999998,0.056299000047147274,1650.8219999999997,0.06862509995698929,1458.3449999999998,0.34142899978905916,1.0,0.0,0.0583,prolog_decisive,8,Middle East,419.844591225439,0,0
9.0,4.966512108042569,264.6965833333333,134.7921978630182,0.5092328588664627,0.024492355849593927,0.27648386092378097,-0.15867545196080568,13.451781542056073,0,Prolog,1131.989,0.036074900068342686,1184.9319999999998,0.06374770007096231,1131.9889999999998,0.37309479992836714,1.0,0.0,0.02235,prolog_decisive,9,Europe,236.28009849417472,0,0
